"cand_id","cdial_id","headword","donor_family","direction","turner_hedged","turner_rv_tag_in_entry","rv_simplex_lemma","rv_simplex_tokens","rv_derivative_lemmas","rv_compound_lemmas","rv_books_simplex","rv_strata_simplex","bracket","source_id","retrieval_date"
"DE-CAND-119","4153","*gicc","munda","into-Indo-Aryan","no","no","","0","","","","","← Drav., J. Bloch BEFEO xliv 49: Kurukh ginjnā 'to beat into pulp'. — Cf. Muṇḍārī geje̯ geje̯ 'to reduce to a pulp', Sant. ge̱je̱ ge̱je̱; 'crammed', gijgij 'close'","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-120","4176","guñjā","dravidian","into-Indo-Aryan","no","no","","0","","","","","See guṇḍa-, gundra-: ← Drav. T. Burrow BSOAS xii 373","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-121","4216","gulphá","dravidian","into-Indo-Aryan","no","yes","","0","","","","","k- ~ g- and u ~ o support T. Burrow TPS 1946, 17 as ← Drav., cf. Tam. kuḷampu 'hoof'","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-122","4248","gēnduka-,","dravidian","into-Indo-Aryan","no","no","","0","","","","","With kandúka- ← Drav. T. Burrow BSOAS xii 369, Mayrhofer EWA i 152","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-123","4271","*gōṭṭa","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. guḍá-¹. — In sense 'fruit, kernel' cert. ← Drav., cf. Tam. koṭṭai 'nut, kernel', Kan. goṟaṭe &amp;c. listed DED 1722","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-124","4272","*gōḍḍa","dravidian","out-of-Indo-Aryan","no","no","","0","","","","","Cf. the word-group 'heel-ankle-knee-wrist' s.v. *kuṭṭha-: → Brah. goḍ 'knee'","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-125","4275","gōṇī́","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. EWA i 345 with lit.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-126","4286","gōdhā́","dravidian","into-Indo-Aryan","no","no","godhā́-","3","gódhāyas-","","8:1 10:2","A:1 P:2","Prob. ← Drav. changed by pop. etym. to 'cow-sucker' see gōlaka-: for IE. origin EWA i 347","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-127","4324","gōlaka","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. DED 1125 fr. which poss. gōdhā́- by pop. etym. Cf. further kōka- m. 'noxious parasitical animal' AV., 'house lizard' lex., kōkila- m. 'a kind of mouse' Suśr., 'frog' lex. prob. in Pk. gihakōilā-, gharak°, gharōilā- f. 'house lizard'","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-128","4474","*ghir","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. J. Bloch BSOS v 742: cf. *ghūr-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
